Ref AMM,Detection Rule,Contract Address,Contract Name,Transactions,Transactions (More),Price-related Function,Price Oracle Contract Address,Price Oracle Contract Name,Line,Vulnerable (TP),Short Reason,Comments,Currently Vulnerable,Disclosure Progress
Curve,RT,0x765c87ede7f2033849dd7a7c4a158dcc9750b79e,Proxy -> InstaAccount,0x755955175b2c6a229cb53907ae6624f7ef5a431f38b7291024fef57b542a0774,,calc_withdraw_one_coin,0x861a2250fcdbe57041289623561d5d79585df5dc,ConnectCurveY,458,N,Direct operation on AMM (remove liquidity),,N,N/A
Curve,RT,0x5d9d25c7c457dd82fc8668ffc6b9746b674d4ecb,VaultProxy -> Vault (fWBTC),0x8535fad555d62bd0fd3cdb604df6cc2b470b4ae2737626be5104f41abc951e1e,0xd44bda7af96b7c5b7bc0c46bb3408d6102cde3eb5def3094acd50cfd80309460,calc_withdraw_one_coin,0x3f31edcd57b2461fd2650f4a1066a97f73b97158,N/A,N/A,Y,Self balance depends on Curve pool state ,,N,N/A
Curve,RT,0xfbe122d0ba3c75e1f7c80bd27613c9f35b81feec,VaultProxy -> Vault (frenBTC),0x8692c3b0ad3b12d5c15ca5ab482175eb6f79925314d50d49a0ec2284e6a4f3f6,0xe3400594ca925fc84371a2673b36fe0f1f8db2c42160bbbddfff0aa000f481d7,calc_withdraw_one_coin,0x2eadfb06f9d890eba80e999eaba2d445bc70f006,CRVStrategyRENBTCMainnet,1297,Y,Invested underlying balance depends on Curve pool state,,N,N/A
Curve,RT,0x9b3136396f7229827a61fe797fa144d0a5f55ff9,Proxy -> InstaAccount,0x9299198351b385a2464d0992269d25b1c96fdea966d204547fdc7551ebacfceb,,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,307,N,Direct operation on AMM (remove liquidity),,N,N/A
Curve,RT,0xa43e2619fe8e0900df24330b30ba0eaa7616c3d8,Proxy -> InstaAccount,0x9492cf75d1393ddee404f8c5a7792bfc4ae211b10ec5d78913be0779d3d205d2,,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,307,N,Direct operation on AMM (remove liquidity),,N,N/A
Curve,RT,0x29cebbfd58ebc13603889b43121ff20db683722c,InstaAcount,0x9cfd70b0ba59311e144b8631739db6e7968f357ff140bd122613d80c29eba1c4,,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,289,N,Direct operation on AMM (remove liquidity),,N,N/A
Curve,RT,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,VaultProxy -> CRVStrategyStableMainnet,0x9f8cdb202819a2e888ba8eec48ab1baa07e0b3603ac1ac13c07ef5f9d54dbbf5,,calc_withdraw_one_coin,0x343a3c86480f09e551ff8e8635495a8f78d86705,N/A,N/A,N,"Direct operation on AMM (withdraw & remove liquidity), yet the price oracle 
contract seems to be vulnerable to POA",,N,N/A
Curve,RT,0x1555e4a654c94ef48396e60b8790ad44800fc76b,InstaAcount,0xa1b4b33dd8c4e9d9c509498b547132b94bc9312a2d3f7ed7ea3635fb03f7206a,,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,289,N,Direct operation on AMM (remove liquidity),,N,N/A
Curve,RT,0xc9afe9fb2146330e45b0b26a84407be02f0b1fca,InstaAcount,0xa4ab08c24c29e4da94cbdbef10352adcc2c7615fceac9d8c3953a8d2fc541f3d,,calc_withdraw_one_coin,0xc74902ad45c8223da10efdcff2ded12184e9d9b5,ConnectCurve,289,N,Direct operation on AMM (remove liquidity),,N,N/A
Curve,RT,0x22de3eb10b1f8b5c4a907407206ae034f7d37dc0,bamVault (bDAI),0xb25ef46b1faf61922fa48ee15b8e008b4bbfc4695418d7c32895d20658808c77,,calc_withdraw_one_coin,0x4248e1cd0fbce71c8da18d8e11aa2c17e426ffad,StrategyCurve3TokenPool,673,N,Direct operation on AMM (withdraw & remove liquidity),,N,N/A
